,STUID,SCHID,state,DIST,SCH,STU,FORM,GENDER,AREA,medium,mathscl,mathtry,mathncor,mathpcor,MT012_001,MT012_002,MT012_003,MT012_004,MT012_005,MT012_006,MT012_007,MT012_008,MT012_009,MT012_010,MT012_011,MT012_012,MT012_013,MT012_014,MT012_015,MT012_016,MT012_017,MT012_018,MT012_019,MT012_020,MT012_021,MT012_022,MT012_023,MT012_024,MT012_025,MT012_026,MT012_027,MT012_028,MT012_029,MT012_030,MT012_031,MT012_032,MT012_033,MT012_034,MT012_035,MT012_036,MT012_037,MT012_038,MT012_039,MT012_040,MT012_041,MT012_042,MT012_043,MT012_044,MT012_045,MT012_046,MT012_047,MT012_048,MT012_049,MT012_050,MT012_051,MT012_052,MT012_053,MT012_054,MT012_055,MT012_056,MT012_057,MT012_058,MT012_059,MT012_060,MT012_061,MT012_062,MT012_063,MT012_064,MT012_065,MT012_066,MT012_067,MT012_068,MT012_069,MT012_070,MT012_071,MT012_072,MT012_073,MT012_074,MT012_075,MT012_076,MT012_077,MT012_078,MT012_079,MT012_080,MT012_081,MT012_082,MT012_083,MT012_084,MT012_085,MT012_086,MT012_087,MT012_088,MT012_089,MT012_090,MT012s001,MT012s002,MT012s003,MT012s004,MT012s005,MT012s006,MT012s007,MT012s008,MT012s009,MT012s010,MT012s011,MT012s012,MT012s013,MT012s014,MT012s015,MT012s016,MT012s017,MT012s018,MT012s019,MT012s020,MT012s021,MT012s022,MT012s023,MT012s024,MT012s025,MT012s026,MT012s027,MT012s028,MT012s029,MT012s030,MT012s031,MT012s032,MT012s033,MT012s034,MT012s035,MT012s036,MT012s037,MT012s038,MT012s039,MT012s040,MT012s041,MT012s042,MT012s043,MT012s044,MT012s045,MT012s046,MT012s047,MT012s048,MT012s049,MT012s050,MT012s051,MT012s052,MT012s053,MT012s054,MT012s055,MT012s056,MT012s057,MT012s058,MT012s059,MT012s060,MT012s061,MT012s062,MT012s063,MT012s064,MT012s065,MT012s066,MT012s067,MT012s068,MT012s069,MT012s070,MT012s071,MT012s072,MT012s073,MT012s074,MT012s075,MT012s076,MT012s077,MT012s078,MT012s079,MT012s080,MT012s081,MT012s082,MT012s083,MT012s084,MT012s085,MT012s086,MT012s087,MT012s088,MT012s089,MT012s090,DistW,DistAdj,SchWgt,SchAdj,SchAdjLAN,SchAdjMAT,SchAdjSCI,SchAdjSOC,StuWgt,LANWgt,MATWgt,SCIWgt,SOCWgt,jkrep,jkzone
25017,19042070038,19042070,HR,4,2070,38,MAT- 22,Boy,Rural,Hindi,229.2757681,59,18,30.51,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,1,3,2,2,1,2,2,1,2,1,3,1,4,4,4,4,1,1,4,2,1,1,4,3,1,2,3,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,1,3,1,1,1,4,4,4,1,1,2,1,3,4,4,4,3,4,2,1,1,1,2,1,1,2,4,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1.230309516,1,6.158894737,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.564102564,17.1212607,17.1212607,17.1212607,17.2039721,0,33
25019,19042074002,19042074,HR,4,2074,2,MAT- 22,Boy,Urban,Hindi,227.7115119,59,18,30.51,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,1,3,2,4,1,1,1,1,1,2,3,4,2,0,2,1,2,4,4,1,3,1,1,3,4,3,3,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,1,3,4,3,2,3,2,2,2,3,2,1,3,4,4,3,3,2,4,2,4,1,2,3,4,1,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1.230309516,1,7.933491525,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.35,19.03556892,19.03556892,19.03556892,19.12752819,0,35
25031,19042074027,19042074,HR,4,2074,27,MAT- 22,Boy,Urban,Hindi,227.4691068,59,16,27.12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2,3,1,2,3,4,2,2,3,2,3,2,1,4,3,2,4,2,4,3,1,3,2,1,1,3,1,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,2,4,3,1,1,1,1,3,2,3,1,2,1,3,2,2,3,1,4,1,1,2,3,1,2,1,3,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.230309516,1,7.933491525,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.35,19.03556892,19.03556892,19.03556892,19.12752819,0,35
25035,19042074034,19042074,HR,4,2074,34,MAT- 22,Boy,Urban,Hindi,228.0222753,59,17,28.81,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,3,4,2,1,3,2,2,2,3,1,2,1,1,3,3,2,1,3,2,2,3,1,2,1,2,2,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,4,2,3,2,3,2,3,2,2,3,3,2,1,1,4,1,3,1,2,2,1,3,1,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1.230309516,1,7.933491525,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.35,19.03556892,19.03556892,19.03556892,19.12752819,0,35
25070,19051089001,19051089,HR,5,1089,1,MAT- 21,Girl,Urban,Hindi,226.1904066,60,15,25,2,3,1,2,4,1,4,2,1,3,4,2,3,1,4,3,1,4,4,5,2,1,1,3,5,1,3,2,2,1,1,4,3,3,4,1,2,1,3,1,2,3,2,3,4,2,1,2,4,1,4,2,2,1,3,4,4,1,2,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,7.3136875,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.6,12.87442863,12.87442863,12.87442863,12.93662394,1,41
25075,19051089012,19051089,HR,5,1089,12,MAT- 21,Girl,Urban,Hindi,228.6241751,60,15,25,2,4,2,4,1,2,1,3,4,4,3,4,3,2,3,3,1,3,1,3,1,3,1,3,1,2,1,2,4,1,2,4,4,4,1,1,3,1,4,4,4,2,2,3,1,2,2,2,3,3,4,2,3,2,4,2,3,3,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,7.3136875,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.6,12.87442863,12.87442863,12.87442863,12.93662394,1,41
25088,19051089038,19051089,HR,5,1089,38,MAT- 22,Girl,Urban,Hindi,228.9844394,59,18,30.51,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,1,3,2,2,2,3,4,4,1,2,3,1,4,1,2,1,3,4,1,4,1,1,4,4,2,4,2,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,2,1,3,4,2,2,2,4,1,2,3,2,3,1,1,1,3,1,3,2,1,1,1,4,3,4,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0.761584741,1,7.3136875,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.6,12.87442863,12.87442863,12.87442863,12.93662394,1,41
25120,19051102024,19051102,HR,5,1102,24,MAT- 22,Girl,Urban,Hindi,228.5099719,59,16,27.12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,4,3,2,0,2,2,4,1,3,5,3,4,4,1,2,4,3,4,4,3,4,0,3,4,3,1,1,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2,1,0,2,1,1,3,4,4,3,1,3,1,3,1,4,3,4,4,2,3,1,1,4,2,4,2,3,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0.761584741,1,4.68076,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,2.5,12.87442863,12.87442863,12.87442863,12.93662394,0,42
25150,19051104003,19051104,HR,5,1104,3,MAT- 21,Boy,Rural,Hindi,227.8893109,60,17,28.33,4,1,1,1,2,2,2,2,2,3,1,4,3,4,4,3,1,4,1,1,1,3,1,4,1,4,0,4,2,4,4,2,3,4,4,1,4,1,2,4,4,1,3,2,3,2,2,4,3,3,4,1,1,3,3,3,3,3,2,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,16.717,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1,18.3920409,18.3920409,18.3920409,18.48089134,1,38
25160,19051104026,19051104,HR,5,1104,26,MAT- 21,Boy,Rural,Hindi,226.9621198,60,17,28.33,3,3,4,2,1,3,1,1,3,3,4,1,1,4,4,3,2,2,3,3,2,2,1,4,3,1,2,3,2,1,2,2,3,2,4,2,4,2,4,3,4,1,3,2,4,2,3,3,2,1,2,2,2,3,4,1,3,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,16.717,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1,18.3920409,18.3920409,18.3920409,18.48089134,1,38
25201,19051114019,19051114,HR,5,1114,19,MAT- 21,Boy,Rural,Hindi,227.2433463,60,16,26.67,4,1,2,1,4,4,1,3,2,4,1,2,3,3,3,3,3,4,2,1,2,4,1,5,3,2,3,1,2,1,3,2,1,2,4,1,3,3,2,4,1,3,2,2,4,1,4,2,3,2,3,2,3,4,2,3,1,2,4,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,16.14055172,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1,17.7578326,17.7578326,17.7578326,17.84361923,1,43
25202,19051114020,19051114,HR,5,1114,20,MAT- 22,Boy,Rural,Hindi,228.2957568,59,17,28.81,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,1,3,2,1,1,2,3,1,3,1,3,1,1,1,1,3,4,1,0,1,1,3,1,1,1,3,1,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,1,1,3,0,1,2,2,4,1,3,2,3,3,4,2,1,3,2,4,3,1,2,3,4,1,2,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0.761584741,1,16.14055172,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1,17.7578326,17.7578326,17.7578326,17.84361923,1,43
25240,19052093016,19052093,HR,5,2093,16,MAT- 21,Boy,Rural,Hindi,228.7901401,60,18,30,4,1,3,3,4,3,1,3,4,3,2,3,2,4,3,2,1,4,3,3,1,2,2,2,3,3,3,4,2,2,2,2,2,2,4,1,2,4,1,3,2,3,3,0,1,2,3,2,2,3,4,3,3,4,4,2,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,24.63557895,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1,27.10406028,27.10406028,27.10406028,27.23499777,0,44
25254,19052096001,19052096,HR,5,2096,1,MAT- 21,Boy,Rural,Hindi,228.9354196,60,12,20,1,2,2,4,1,3,4,3,1,4,4,1,4,3,3,3,4,4,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,2,0,4,3,4,4,4,0,0,0,0,0,0,0,0,0,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,15.09922581,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.409090909,23.40805206,23.40805206,23.40805206,23.52113444,0,36
25277,19052100024,19052100,HR,5,2100,24,MAT- 22,Boy,Rural,Hindi,228.419966,59,14,23.73,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,4,4,1,2,2,1,3,3,3,2,5,5,2,1,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2,1,2,4,2,1,3,2,4,1,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761584741,1,15.09922581,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1,16.61216598,16.61216598,16.61216598,16.69241799,0,39
25342,19052112012,19052112,HR,5,2112,12,MAT- 21,Girl,Rural,Hindi,227.5579582,60,19,31.67,3,4,2,3,5,4,1,1,4,2,4,3,4,3,4,2,3,4,2,1,4,3,1,2,3,4,3,0,4,1,3,4,3,2,3,1,4,3,2,4,4,3,1,3,2,2,1,2,4,3,4,3,4,3,4,1,4,1,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,27.53388235,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1,30.29277325,30.29277325,30.29277325,30.43911515,0,46
25357,19053090001,19053090,HR,5,3090,1,MAT- 21,Boy,Rural,Hindi,228.1460997,60,16,26.67,4,2,3,3,3,3,2,3,2,4,2,3,1,4,3,2,3,4,2,2,2,1,2,4,3,3,2,3,4,3,2,1,4,1,3,3,2,3,2,3,4,2,3,1,2,1,2,2,3,4,2,1,3,4,2,3,1,4,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,9.36152,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.25,12.87442863,12.87442863,12.87442863,12.93662394,1,46
25363,19053090013,19053090,HR,5,3090,13,MAT- 22,Boy,Rural,Hindi,227.8036826,59,17,28.81,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,1,3,1,4,1,2,2,4,1,1,5,5,4,4,1,0,2,3,3,2,4,3,3,0,1,4,4,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,3,1,4,1,2,2,1,2,3,1,3,2,3,3,3,2,3,1,3,1,3,2,1,4,2,2,2,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0.761584741,1,9.36152,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.25,12.87442863,12.87442863,12.87442863,12.93662394,1,46
25380,19053091016,19053091,HR,5,3091,16,MAT- 21,Girl,Urban,Hindi,227.3128111,60,16,26.67,2,3,4,1,4,2,2,4,1,1,3,3,4,1,4,2,3,4,2,1,3,2,1,3,2,1,2,4,3,4,1,2,3,1,4,3,2,1,4,3,4,3,3,4,3,3,3,2,2,3,4,1,4,3,4,4,2,4,1,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,11.14466667,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.166666667,14.3049207,14.3049207,14.3049207,14.3740266,0,38
25388,19053091033,19053091,HR,5,3091,33,MAT- 21,Girl,Urban,Hindi,227.8990764,60,16,26.67,4,2,1,1,2,2,1,1,2,1,4,4,2,4,4,3,2,1,2,1,4,1,1,2,4,1,2,3,2,1,4,2,3,1,4,1,1,2,3,1,1,1,2,2,3,4,4,1,3,1,2,3,1,4,4,4,3,3,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,11.14466667,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.166666667,14.3049207,14.3049207,14.3049207,14.3740266,0,38
25424,19053097024,19053097,HR,5,3097,24,MAT- 22,Girl,Urban,Hindi,229.4420217,59,16,27.12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2,4,2,3,4,3,2,3,2,3,2,3,2,4,3,3,2,4,1,3,1,5,2,3,2,3,0,3,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,3,2,1,4,3,3,3,3,1,4,3,2,1,2,3,1,4,1,3,1,4,2,3,1,2,3,4,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.761584741,1,6.000974359,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,2,13.20454219,13.20454219,13.20454219,13.26833225,0,40
25433,19053098002,19053098,HR,5,3098,2,MAT- 22,Boy,Rural,Hindi,227.6195336,59,15,25.42,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2,5,3,2,3,2,2,1,4,1,3,4,3,4,1,4,4,4,2,1,4,3,3,4,4,1,1,2,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,3,1,1,2,1,3,2,3,4,2,1,3,1,3,1,4,2,4,4,2,4,4,3,4,1,1,3,1,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.761584741,1,7.3136875,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.684210526,13.55203014,13.55203014,13.55203014,13.61749888,1,39
25434,19053098005,19053098,HR,5,3098,5,MAT- 21,Boy,Rural,Hindi,226.0676406,60,16,26.67,4,4,2,4,4,4,2,2,2,4,3,2,3,3,3,4,3,1,2,4,2,2,1,1,3,4,4,1,1,1,2,1,3,4,3,4,1,2,1,3,4,3,2,2,3,1,1,1,3,2,4,1,1,1,3,4,3,4,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,7.3136875,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.684210526,13.55203014,13.55203014,13.55203014,13.61749888,1,39
25456,19053099012,19053099,HR,5,3099,12,MAT- 21,Boy,Rural,Hindi,226.0447904,60,15,25,4,5,2,3,4,4,2,4,3,3,1,1,2,2,3,5,2,4,3,3,4,2,1,5,4,1,1,4,4,1,3,2,1,3,3,1,4,2,1,3,2,3,4,3,1,3,2,3,5,4,2,3,0,1,3,1,3,2,1,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,10.88548837,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.075,12.87442863,12.87442863,12.87442863,12.93662394,0,47
25476,19053106012,19053106,HR,5,3106,12,MAT- 21,Girl,Urban,Hindi,229.1879269,60,17,28.33,1,2,4,2,1,4,1,1,2,4,4,3,3,3,3,3,2,3,2,2,1,3,4,4,1,2,4,4,3,2,5,2,1,4,2,1,4,2,4,4,2,1,1,4,3,5,3,2,4,3,4,1,1,3,3,2,3,4,4,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.761584741,1,6.158894737,1.201923077,1.201923077,1.201923077,1.201923077,1.207729469,1.9,12.87442863,12.87442863,12.87442863,12.93662394,1,47
